0	java/nio/ByteBuffer/isReadOnly()
1	java/nio/ByteBuffer/order()
2	java/nio/ByteBuffer/hasRemaining()
3	java/nio/ByteBuffer/arrayOffset()
4	java/nio/ByteBuffer/array()
5	io/netty/buffer/ByteBuf/release()
6	java/nio/charset/CharsetEncoder/maxBytesPerChar()
7	java/nio/charset/CharsetEncoder/encode(java.nio.CharBuffer,java.nio.ByteBuffer,boolean)
8	java/nio/ByteBuffer/position()
9	java/nio/charset/CoderResult/isUnderflow()
10	java/nio/ByteBuffer/isDirect()
11	io/netty/util/internal/PlatformDependent/hasUnsafe()
12	java/lang/IllegalStateException/IllegalStateException(java.lang.Throwable)
13	java/nio/ByteBuffer/remaining()
14	java/nio/charset/CoderResult/throwException()
15	java/nio/CharBuffer/remaining()
16	io/netty/util/CharsetUtil/getEncoder(java.nio.charset.Charset)
17	java/nio/charset/CharsetEncoder/flush(java.nio.ByteBuffer)
18	java/nio/ByteBuffer/hasArray()
