0	java/lang/String/substring(int,int)
1	java/lang/StringBuffer/StringBuffer()
2	java/lang/String/regionMatches(boolean,int,java.lang.String,int,int)
3	java/lang/StringBuffer/toString()
4	java/lang/String/substring(int)
5	java/lang/StringBuffer/append(java.lang.String)
6	java/lang/String/toUpperCase(java.util.Locale)
7	java/io/PrintStream/println(java.lang.String)
8	java/lang/NumberFormatException/toString()
9	java/io/IOException/IOException(java.lang.String)
10	java/lang/String/length()
11	java/util/Map/put(java.lang.Object,java.lang.Object)
12	java/lang/Integer/parseInt(java.lang.String)
13	java/util/List/add(java.lang.Object)
