0	java/lang/StringBuffer/StringBuffer()
1	java/lang/System/currentTimeMillis()
2	org/carrot2/util/preprocessor/shaded/apache/commons/collections/Buffer/size()
3	java/lang/Object/toString()
4	java/lang/Object/wait(long)
5	java/lang/Object/wait()
6	java/lang/StringBuffer/toString()
7	java/io/PrintWriter/PrintWriter(java.io.Writer)
8	java/util/Collection/isEmpty()
9	java/lang/StringBuffer/append(java.lang.String)
10	org/carrot2/util/preprocessor/shaded/apache/commons/collections/buffer/BlockingBuffer/getBuffer()
11	java/lang/InterruptedException/printStackTrace(java.io.PrintWriter)
12	java/lang/StringBuffer/append(int)
13	java/io/StringWriter/StringWriter()
14	org/carrot2/util/preprocessor/shaded/apache/commons/collections/buffer/BoundedBuffer/getBuffer()
